Code	Name			GLat	Glon	L	MLat	MLon
KEV 	Kevo 			69.76 	27.01	6.25	66.42	108.92
MAS	Masi			69.46	23.70	6.17	66.26	106.09
KIL	Kilpisjaervi   		69.06	20.77	6.04	66.00	103.49
IVA	Ivalo 			68.56 	27.29	5.68	65.19	108.27
MUO	Muonio  		68.02 	23.53	5.52	64.80	104.92
SOD	Sodankylae		67.37	26.63	5.21	64.00	106.98
PEL	Pello			66.90	24.08	5.07	63.63	104.56
OUJ	Oulujaervi		64.52	27.23	4.27	61.06	105.91
MEK	Mekrijaervi		62.77	30.97	3.80	59.14	108.26
HAN	Hankasalmi		62.25	26.60	3.71	58.72	104.49
NUR	Nurmijaervi		60.50	24.65	3.36	56.93	102.02
NU2	TEMPORARY_Nurmijaervi	60.50	24.65	3.36	56.93	102.02
TAR	Tartu			58.26	26.46	2.97	54.51	102.76
BRZ	Birzai			56.21	24.75	2.68	52.33	100.64
HLP	Hel_Observatory		54.61	18.81	2.49	50.68	95.04
SUW	Suwalki			54.01	23.18	2.42	49.95	98.46
SZC	Szczechowo		52.91	19.61	2.30	48.76	95.24
BEL	Belsk			51.83	20.80	2.19	47.54	95.99
PPN	Polesie_National_Park	51.45	23.13	2.16	47.10	97.94
ZAG	Zagorzyce		50.28	20.58	2.06	45.78	95.42
VYH	Vyhne			48.49	18.84	1.95	43.80	93.48
NCK	Nagycenk		47.63	16.72	1.85	42.67	91.44
THY	Tihany			46.90	17.89	1.80	41.82	92.30
LOP	Lonjsko_Polje		45.41	16.66	1.71	40.02	90.92
CST	Castello_Tesino		46.05	11.65	1.74	40.74	86.70
RNC	Ranchio			43.97	12.08	1.62	38.16	86.64
AQU	L'Aquila		42.38	13.32	1.53	36.18	87.43
TSU	Tsumeb			-19.20	17.58	1.34	-30.16	86.73
WBP	Waterberg_Plateau_Park	-20.52	17.25	1.37	-31.39	86.00
SUT	Sutherland		-32.38	20.81	1.76	-41.09	85.27
HER	Hermanus		-34.42	19.22	1.84	-42.42	82.68
